Artist 1,Artist 2,Cosine Similarity
"""Heroes"" (David Bowie album)","""Heroes"" (David Bowie album)",1.0000000000000016
"""Heroes"" (David Bowie album)",Karl Jenkins,0.37830755389809123
"""Heroes"" (David Bowie album)",Air (French band),0.39263226412345914
"""Heroes"" (David Bowie album)",Arjen Lucassen,0.40240648599303586
"""Heroes"" (David Bowie album)",Ambient house,0.47338423499998805
"""Heroes"" (David Bowie album)",Ambient music,0.576292135368442
"""Heroes"" (David Bowie album)",Amon Tobin,0.37860671264121043
"""Heroes"" (David Bowie album)",The Future Sound of London,0.5823923311723271
"""Heroes"" (David Bowie album)",Aphex Twin,0.523168166775167
"""Heroes"" (David Bowie album)",Archive (band),0.43406437370406586
"""Heroes"" (David Bowie album)",Uwe Schmidt,0.430728668064176
"""Heroes"" (David Bowie album)",Autechre,0.4682218090391776
"""Heroes"" (David Bowie album)",B. J. Cole,0.4115518458853036
"""Heroes"" (David Bowie album)",Ben Frost,0.3122209658937218
"""Heroes"" (David Bowie album)",Benson Taylor,0.42427543373863386
"""Heroes"" (David Bowie album)",Bill Laswell,0.3934729816352066
"""Heroes"" (David Bowie album)",Biomusic,0.47648561313778515
"""Heroes"" (David Bowie album)",Biosphere (musician),0.3258471459005155
"""Heroes"" (David Bowie album)",Blue Foundation,0.24861842451271504
"""Heroes"" (David Bowie album)",Boards of Canada,0.5115749171177485
"""Heroes"" (David Bowie album)",Bonobo (musician),0.40329466436737677
"""Heroes"" (David Bowie album)",Bradley Joseph,0.5521996135677982
"""Heroes"" (David Bowie album)",Brian Eno,0.6687533222070614
"""Heroes"" (David Bowie album)",Buckethead,0.3948592634749037
"""Heroes"" (David Bowie album)",Burial (musician),0.39095689378248094
"""Heroes"" (David Bowie album)",Burzum,0.29584599756148244
"""Heroes"" (David Bowie album)",C418,0.32980636624293175
"""Heroes"" (David Bowie album)",Carbon Based Lifeforms,0.4490654972831828
"""Heroes"" (David Bowie album)",Carl Weingarten,0.3462300373545975
"""Heroes"" (David Bowie album)",Cat System Corp.,0.3109429303536618
"""Heroes"" (David Bowie album)",Catya Maré,0.21555774703043726
"""Heroes"" (David Bowie album)",Centrozoon,0.4414025135802544
"""Heroes"" (David Bowie album)",Fennesz,0.2679764394552937
"""Heroes"" (David Bowie album)",Chuck Wild,0.3014651210838143
"""Heroes"" (David Bowie album)",Cluster (band),0.4106045058296359
"""Heroes"" (David Bowie album)",Cocteau Twins,0.48525273506459815
"""Heroes"" (David Bowie album)",Coil (band),0.457637406733782
"""Heroes"" (David Bowie album)",Constance Demby,0.29124717659662286
"""Heroes"" (David Bowie album)",Controlled Bleeding,0.44113311461103366
"""Heroes"" (David Bowie album)",Craig Armstrong (composer),0.3823428411218187
"""Heroes"" (David Bowie album)",Craig Chaquico,0.31164403355658205
"""Heroes"" (David Bowie album)",DJ Spooky,0.4284239206621893
"""Heroes"" (David Bowie album)",Daniel Lanois,0.3181261922642085
"""Heroes"" (David Bowie album)",Danielle Egnew,0.23711535455500649
"""Heroes"" (David Bowie album)",David Bowie,0.8200376009468979
"""Heroes"" (David Bowie album)",David Tipper,0.36887435940189495
"""Heroes"" (David Bowie album)",De Facto (band),0.3159173586983006
"""Heroes"" (David Bowie album)",Dead Can Dance,0.484603785050869
"""Heroes"" (David Bowie album)",Deadmau5,0.393759195008495
"""Heroes"" (David Bowie album)",Buckethead discography,0.24841171097738649
"""Heroes"" (David Bowie album)",Deep Forest,0.4283331541461536
"""Heroes"" (David Bowie album)",Deerhunter,0.46094147080594117
"""Heroes"" (David Bowie album)",Delerium,0.2868643683379164
"""Heroes"" (David Bowie album)",Devin Townsend,0.30969988460237247
"""Heroes"" (David Bowie album)",Diane Arkenstone,0.3180836114323117
"""Heroes"" (David Bowie album)",Dntel,0.3034450714061919
"""Heroes"" (David Bowie album)",Don Falcone,0.24455773595044397
"""Heroes"" (David Bowie album)",Dreampunk,0.33413844478366056
"""Heroes"" (David Bowie album)",Drone music,0.3981153974863278
"""Heroes"" (David Bowie album)",Dungeon synth,0.30853174166828523
"""Heroes"" (David Bowie album)",Earthstar (band),0.27751096075940646
"""Heroes"" (David Bowie album)",Edgar Froese,0.28335815599511555
"""Heroes"" (David Bowie album)",Eloy Fritsch,0.39401644105616374
"""Heroes"" (David Bowie album)",Enigma (German band),0.4597447794580681
"""Heroes"" (David Bowie album)",Enya,0.3825548364326431
"""Heroes"" (David Bowie album)",Erik Satie,0.42286864420487413
"""Heroes"" (David Bowie album)",Explosions in the Sky,0.5761413766423793
"""Heroes"" (David Bowie album)",Falling Up (band),0.4240462642047581
"""Heroes"" (David Bowie album)",Fantômas (band),0.35853473470023756
"""Heroes"" (David Bowie album)",Frou Frou (band),0.246238493436322
"""Heroes"" (David Bowie album)",Gary Stadler,0.266485359829119
"""Heroes"" (David Bowie album)",Gaudi (musician),0.3455097986818266
