Artist 1,Artist 2,Cosine Similarity
21 Savage,2 Chainz,0.4450640960902411
21 Savage,50 Cent,0.5214261593883943
21 Savage,Akon,0.4708175134400913
21 Savage,André 3000,0.4177707094848396
21 Savage,Anitta (singer),0.45651536268327936
21 Savage,Apl.de.ap,0.481509088105549
21 Savage,Ashanti (singer),0.42276418506350716
21 Savage,B.I (rapper),0.5461414237758038
21 Savage,B.o.B,0.5925543262791525
21 Savage,Bad Bunny,0.41312488259782315
21 Savage,Becky G,0.41264853158635406
21 Savage,Beyoncé,0.4996406043235234
21 Savage,Big L,0.4072572057667842
21 Savage,Big Sean,0.48919114161317945
21 Savage,Birdman (rapper),0.4456149338477812
21 Savage,Bobby Brown,0.44576629513455823
21 Savage,Bow Wow (rapper),0.42669961681999924
21 Savage,Burna Boy,0.47269958110151167
21 Savage,Busta Rhymes,0.46824513413653945
21 Savage,CL (singer),0.40699323046885094
21 Savage,Cardi B,0.47225352588524994
21 Savage,CeeLo Green,0.4667374121705566
21 Savage,Chamillionaire,0.40092078198081904
21 Savage,Chip (rapper),0.41696473341550916
21 Savage,Chris Brown,0.5688162964258991
21 Savage,Chuck D,0.47912220090867663
21 Savage,Ciara,0.4463315594536158
21 Savage,Common (rapper),0.496702213333133
21 Savage,Craig David,0.5420778332105679
21 Savage,DJ Khaled,0.44163957002858434
21 Savage,DJ Paul,0.4362846215220597
21 Savage,DJ Quik,0.4027460371530014
21 Savage,DMX (rapper),0.4291868422576852
21 Savage,DaBaby,0.43335080498723283
21 Savage,Daddy Yankee,0.4365938708898584
21 Savage,Danny Boy (rapper),0.40659083877104946
21 Savage,Danny Brown (rapper),0.5143446661886676
21 Savage,Dave (rapper),0.46886555231991084
21 Savage,Dizzee Rascal,0.41719851733901586
21 Savage,Doja Cat,0.44713295280452825
21 Savage,Donald Glover,0.42973246186336633
21 Savage,Dr. Dre,0.47165908575756604
21 Savage,Drake (musician),0.5808079244177751
21 Savage,Drake (rapper),0.5808079244177751
21 Savage,Eminem,0.4992090997600571
21 Savage,Eve (rapper),0.47802791587190935
21 Savage,Fabolous,0.47716359753564447
21 Savage,Fat Joe,0.40932522021881385
21 Savage,Fergie (singer),0.4340456759714702
21 Savage,Flo Rida,0.4150807184152433
21 Savage,Foxy Brown (rapper),0.4611487143101158
21 Savage,Frank Ocean,0.40972988452470566
21 Savage,French Montana,0.5159841958767333
21 Savage,Future (rapper),0.5514794804910614
21 Savage,G-Dragon,0.46582125110247347
21 Savage,Gims,0.40612052753830197
21 Savage,Gucci Mane,0.44160128523971853
21 Savage,Hip hop music,0.5147700584164173
21 Savage,Ice-T,0.47997849717453284
21 Savage,Ice Cube,0.4073591784095085
21 Savage,Iggy Azalea,0.40940383906203043
21 Savage,J. Cole,0.5222774352895989
21 Savage,J Balvin,0.4202354041795811
21 Savage,Jadakiss,0.46144486258172607
21 Savage,Jake Paul,0.4248736615707359
21 Savage,James Brown,0.480626175908431
21 Savage,Jay-Z,0.5595917295966673
21 Savage,Jay Park,0.47846638338068626
21 Savage,Jay Sean,0.514461778780307
21 Savage,Jay Z,0.5595917295966673
